op_kind	source_path	target_unit	target_layer	target_path	result	note
empty_dir_archive	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown-fast	-	-	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_205751/90.transition-triage/20.unclassified-global/module-unknown-fast	archived	archived empty unnecessary folder
empty_dir_archive	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/commercial-strong-pass	-	-	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_205751/90.transition-triage/20.unclassified-global/commercial-strong-pass	archived	archived empty unnecessary folder
